id,day,month,year,source_database,source_database_encoded,attack_description,industry_type,industry_type_group,industry_type_group_encoded,subcategory,subcategory_group,subcategory_group_encoded,attack_details,ti_safe_score,impact,link_at_the_internet,Africa,Asia,Australia,Europe,North America,South America
1055,21,6,2022,TI Safe,4,Yodel parcel company confirms cyberattack is disrupting delivery,Transport sector and,Transport,11,Transportation Systems,Transport,25,Services for the U.K.-based Yodel delivery service company have been disrupted due to a cyberattack that caused delays in parcel distribution and tracking orders online.,4.0,"Customers waiting for package delivery, tracking and customer service were left unresponsive, some of them claiming they had not had package information for at least four days. The system was down.",bleepingcomputer.com,0,0,0,1,0,0
1054,20,6,2022,TI Safe,4,Ministry of Economy investigates exposure of Brazilian data,Information Technology,Technology,10,Information Technology,Technology,24,"A cybersecurity company that partners with investigative bodies such as Interpol, a failure in the folder's server exposed data from more than 20,000 Brazilians.",4.0,The information is believed to have been exposed for at least two months and it is not yet known whether the leak was the result of breach or willful action.,securityreport.com.br,0,0,0,0,0,1
1053,8,6,2022,TI Safe,4,Ransomware attack impacts servers of the Municipality of Alegre,Government,Public,9,Government Facilities,Government,14,The Municipality of Alegre suffered a ransomware-type attack on its servers.,4.0,"Much of the data is affected, but there is no data leak. All City Hall services are unavailable indefinitely.",securityreport.com.br,0,0,0,0,0,1
1052,8,6,2022,TI Safe,4,A major Russian radio station was hacked,Government,Public,9,Government Facilities,Government,14,A major Russian radio station was hacked and started broadcasting Ukrainian anthems and anti-war songs on Wednesday.,3.0,Russian radio station was hacked and started broadcasting Ukrainian anthems and anti-war songs,businessinsider.com,0,1,0,0,0,0
1051,7,6,2022,TI Safe,4,Cyber attacks interrupt VISA applications at Irish embassy in Turkey,Sector and Production,Manufacturing,8,Aerospace,Aerospace,1,THE IRISH EMBASSY in Turkey is temporarily unable to process visa applications due to “persistent” cyber attacks,4.0,Cyber ​​attacks disrupted services.,thejournal.ie,0,0,0,1,0,0
1050,6,6,2022,TI Safe,4,Italian city of Palermo shuts down all systems to fend off cyberattack,Information Technology,Technology,10,Information Technology,Technology,24,"The municipality of Palermo in Southern Italy suffered a cyberattack on Friday, which appears to have had a massive impact on a broad range of operations and services to both citizens and visiting tourists.",4.0,"The systems were impacted including the public management of video surveillance, the municipal police operations center and all services of the municipality. Although local IT experts have been trying to restore systems for the past three days, all servic",bleepingcomputer.com,0,0,0,1,0,0
1049,6,6,2022,TI Safe,4,Costa Rican government held up by ransomware,Information Technology,Technology,10,Information Technology,Technology,24,Notorious Russian ransomware gang Conti threatened to overthrow the Costa Rican government if a ransom was not paid.,4.0,"The Costa Rican government said at least 30 of the agency's servers were infected, and its attempt to shut down systems to limit the damage appears to have failed.",theregister.com,0,0,0,0,1,0
1048,3,6,2022,TI Safe,4,Pharmaceutical giant Novartis suffered a cyberattack by the data extortion gang Industrial Spy,Communication and telecommunications,Technology,10,Commercial Facilities,Commercial and public,5,"Pharmaceutical giant Novartis suffered a cyberattack by the data extortion gang Industrial Spy, but reported that no sensitive data was compromised.
",3.0,No sensitive data has been compromised,bleepingcomputer.com,0,0,0,0,0,1
1047,22,5,2022,TI Safe,4,SpiceJet airline passengers stranded after ransomware attack,Transport sector and,Transport,11,Transportation Systems,Transport,25,Indian low-cost airline SpiceJet suffered an attempted ransomware attack that impacted some of its systems and caused flight departure delays.,4.0,Impacted some of its systems and caused delays on flight departures.,bleepingcomputer.com,0,1,0,0,0,0
1046,19,5,2022,TI Safe,4,Zambian central bank refuses to pay ransom to hackers,Banking and finance,Financial,5,Financial services,Financial,13,Zambia’s central bank said it refused to pay ransom to a group known as Hive that was behind a cybersecurity breach that caused minimal damage to its systems.,3.0,All major systems are still working,news24.com,0,0,0,0,1,0
1045,16,5,2022,TI Safe,4,Bradesco suffered a data incident at Bradesco Financiamentos,Banking and finance,Financial,5,Financial services,Financial,13,"Bradesco communicated to the market the correction of a flaw that allowed the visualization of data contained in customer contracts of Bradesco Financiamentos, one of the subsidiaries of the group.",4.0,"The flaw may have allowed the visualization of data from approximately 53,000 customers.",convergenciadigital.com.br,0,0,0,0,0,1
1044,16,5,2022,TI Safe,4,Cyber ​​attack impacts technological infrastructure of the Court of Auditors of Paraná,Information Technology,Technology,10,Information Technology,Technology,24,The Court of Auditors of Paraná reported that it detected suspicious records of malicious activities in its technological infrastructure. Detected as Malware,3.0,"There were no losses, nor were the systems through which municipalities connect to the TCE affected.",securityreport.com.br,0,0,0,0,0,1
1043,11,5,2022,TI Safe,4,Ransomware Attack Closes College Founded in 1865,Education and Research,Public,9,Education and Research,Education and Research,9,"A college founded in 1865 in the city of Lincoln, Illinois, is closing its doors after falling victim to a ransomware attack carried out by Iranian hackers.",4.0,"The cyber-action damage thwarted admissions activities and made it difficult to access all institutional data, and encrypted important data. ",olhardigital.com.br,0,0,0,0,1,0
1042,10,5,2022,TI Safe,4,"
UK government hackers destroyed hundreds of thousands of stolen credit card details held by criminals",Government,Public,9,Government Facilities,Government,14,"Ministry of Defense and GCHQ agents ""set up operations to undermine [criminals'] networks and stop them from profiting from their crimes, as well as denying them access to their cyber tools and malware""",4.0,"No details were given about these operations, they were given as an example of legal and legitimate hacking.",news.sky.com,0,0,0,1,0,0
1041,6,5,2022,TI Safe,4,AGCO Announces Ransomware Attack,Agricultural,Agricultural,0,"Agriculture, food and beverage",Agricultural,2,"AGCO, Your Agriculture Company was the target of a ransomware attack that affected some of its production facilities.",4.0,The ransomware attack that affected some of their production facilities.,news.agcocorp.com,0,0,0,0,1,0
1040,9,5,2022,TI Safe,4,Costa Rica declares national emergency after Conti ransomware attacks,Government,Public,9,Government Facilities,Government,14,The Costa Rican President Rodrigo Chaves has declared a national emergency following cyber attacks from Conti ransomware group on multiple government bodies.,5.0,The group had leaked 97% of the 672GB data dump allegedly containing information stolen from government agencies.,bleepingcomputer.com,0,0,0,0,1,0
1039,3,5,2022,TI Safe,4,RIPTA releases hacker note on ransomware attack,Government,Public,9,Government Facilities,Government,14,The Rhode Island Public Transit Authority released the rescue from a cyber attack in August. RIPTA said that a third-party forensics team determined that hackers accessed certain files stored on the bus agency's computers between August 3 and 5 of last ye,4.0,"Hackers stole the names, birth dates and Social Security numbers of 17,000 current and former employees of the state of Rhode Island.",turnto10.com,0,0,0,0,1,0
1038,26,4,2022,TI Safe,4,French hospital group disconnects internet after hackers steal data,Hospital and health,Health and Homecare,6,Healthcare and Public Health,Healthcare,15,The Hospitals and Health group shut down all inbound and outbound Internet connections after discovering they had suffered a cyberattack that resulted in the theft of confidential patient and administrative data.,5.0,They followed up copying administrative data from computers stored on the establishment's systems and warned that other threat actors could publish and use the data.,bleepingcomputer.com,0,0,0,1,0,0
1037,11,4,2022,TI Safe,4,"SuperCare Health data breach affects over 300,000 people",Hospital and health,Health and Homecare,6,Healthcare and Public Health,Healthcare,15,"SuperCare Health, a California respiratory care provider, recently disclosed a data breach affecting more than 300,000 individuals. SuperCare said the hack was discovered on July 27, 2021, when it noticed unauthorized activity on some systems. An investig",5.0,"The breach exposed files that contained patient information, including name, address, date of birth, hospital or medical group, chart number, patient account number, health-related information, and claim information. In some cases, CPF and driver's licens",securityweek.com,0,0,0,0,1,0
1036,15,4,2022,TI Safe,4,Banco Pan confirms customer data leak,Banking and finance,Financial,5,Financial services,Financial,13,A 'weakness' in a technology vendor's platform allowed customer information to be leaked. Banco Pan says complete card data and passwords were not exposed.,4.0,"The fragility allowed the leakage of customer information allowing, according to the financial institution, unauthorized copying of registration data and available limit and debt balance.",g1.globo.com,0,0,0,0,0,1
1035,27,3,2019,SCIDMARK ,3,Ellsworth County Rural Water District had its water system breached,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"Wyatt Travnichek knowingly accessed the Ellsworth County Rural Water District's protected computer system without authorization. During this unauthorized access, it is alleged that Mr. Travnichek carried out activities that terminated processes at the fac",4.0,Processes at the facility that affect facility cleaning and disinfection procedures have been terminated,ibtimes.co.uk,0,0,0,0,1,0
1034,24,4,2020,SCIDMARK ,3,Attempted violation of the plant system(s) at the Israeli Water Plant(s),Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"The Israel National Cyber ​​Directorate has received reports of attempts to attack the control and monitoring systems of sewage treatment plants, pumping stations and sewage from one or more water treatment plants.",3.0,The impact was not reported.,ibtimes.co.uk,0,1,0,0,0,0
1033,23,4,2007,SCIDMARK ,3,Operator Error / Configuration Error at the water treatment plant in the City of Spencer,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"Malfunction at one of the city's water treatment plants, where a dangerous amount of sodium hydroxide (bleach) was released into the city's water supply.",5.0,"The damage appeared to be isolated only to the town of Spencer; however, as there were several residents affected by the contaminated water, several fire districts were contacted to alleviate the large number of residents who needed immediate medical atte",ibtimes.co.uk,0,0,0,0,1,0
1032,5,2,2021,SCIDMARK ,3,Oldsmar city water system has been breached,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"The attack was carried out via remote access software (TeamViewer) 15 on the computer system of the plant responsible for water clarification for distribution, portable water for the local community of approximately 15,000 inhabitants.",4.0,"Product operational features are not available with an acceptable workaround. Customer implementation or core business production, core applications or mission-critical systems are running with limited resources or partially missing functions.",ibtimes.co.uk,0,0,0,0,1,0
1031,23,1,2021,SCIDMARK ,3,Ransomware Attack Against Commercial and Operating Systems at WestRock Company,Government,Public,9,Government Facilities,Government,14,"Ransomware penetrated the corporate Business Network, perhaps via the Operations Network (speculatively), infecting corporate systems and operational equipment in factories. The method and vector of infection were not disclosed.",3.0,"The damage was mostly contained in the business network. However, some sites reported impacts relevant to their operations networks, which required manual control of the operations performed.",ibtimes.co.uk,0,0,0,1,0,0
1030,22,5,2003,SCIDMARK ,3,Dam Failure False Alarm at Santee Cooper,Energy,Energy,4,Energy,Energy,10,"Non-descriptive computer system has experienced a 'computer crash', accidentally triggering the public alarm/alert notification system to sound.",3.0,Malfunction caused the public alert system to be triggered.,ibtimes.co.uk,0,0,0,0,1,0
1029,20,2,2021,SCIDMARK ,3,Multiple waterline breaks due to software malfunction in the City of Bloomington,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,The Supervision Control and Data Acquisition (SCADA) system at the city's water treatment plant malfunctioned. The malfunction led to a factory worker accidentally activating too many bombs at once.,4.0,The malfunction caused a loss of control of the pumps temporarily until it was corrected and caused operational disruption throughout the city's water distribution system.,ibtimes.co.uk,0,0,0,0,1,0
1028,9,1,2021,SCIDMARK ,3,"Grid Frequency Deviation at ENTSO-E
",Energy,Energy,4,Energy,Energy,10,"The Continental European Power System, which spans 26 countries, recorded the highest absolute frequency deviation for nine seconds since 2006.",4.0,"The customer's core business production, core mission-critical applications or systems have been disrupted or have been so severely impacted that the business cannot reasonably continue to operate.",ibtimes.co.uk,0,0,0,1,0,0
1027,29,5,2019,SCIDMARK ,3,Ransomware attack against the municipality of Riviera Beach,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"The city of Riviera, Florida was attacked using an unidentified ransomware, crippling most of the city's computer systems, including water utility pumping stations.",4.0,"The ransomware locked and encrypted all data contained on every hard drive for every system that was affected and impacted by the malware. No specific count of how many computers were infected, other than speculated numbers of 310 desktop computers and 90",ibtimes.co.uk,0,0,0,0,1,0
1026,11,7,2010,SCIDMARK ,3,Low Water Storage Due to Monitoring System Failure in the City of Lake Havasu,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"The city of Lake Havasau, California, experienced a water shortage problem, causing thousands of local residents to be left without water; this was the report to be the first time since the city began keeping records.",4.0,Thousands of local residents were left without water.,ibtimes.co.uk,0,0,0,0,1,0
1025,1,5,2008,SCIDMARK ,3,Impacted SCADA/control systems that maintain operations at one or more locations have been tampered with.,Energy,Energy,4,Energy,Energy,10,An Upland man who worked for a company that operated offshore oil rigs was indicted on federal charges of damaging the company's computer systems after it refused to offer him permanent employment.,4.0,"Product operational features are not available with an acceptable workaround; however, there is no longer-than-expected timeframe or anticipated turnaround time. Customer implementation or core business production, core applications or mission-critical sy",ibtimes.co.uk,0,0,0,0,1,0
1024,24,8,2015,SCIDMARK ,3,Accidental sewage discharge due to operator error in the City of Honolulu,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"The city reported the discharge of approximately 462,050 gallons of stormwater mixed with raw sewage into the state's waters from seven (7) culverts located in the Ala Moanal Kakaako area on August 24, 2015.",4.0,The spill continued and increased over approximately six (6) days.,ibtimes.co.uk,0,0,0,0,1,0
1023,17,2,1999,SCIDMARK ,3,"An explosion destroyed the boiler at the Hawthorn Unit, a 476 megawatt coal-fired generating unit.",Energy,Energy,4,Energy,Energy,10,"The blast hit an 11-story boiler building; the explosion caused most of the building to collapse, but caused only a minor injury. A spokesperson for KCP&L said the explosion did not cause interruption of electrical service for the utility's customers.",4.0,"The customer's core business production, core mission-critical applications or systems have been disrupted or have been so severely impacted that the business cannot reasonably continue to operate.",ibtimes.co.uk,0,0,0,0,1,0
1022,1,1,2017,SCIDMARK ,3,"Washington, DC's CCTV Surveillance System Has Been Compromised",Information Technology,Technology,10,Information Technology,Technology,24,A criminal complaint and arrest warrants were issued for two Romanian citizens with a conspiracy to illegally access approximately 123 computers associated with Metropolitan Police Department (MPD) surveillance cameras and use those computers in connectio,4.0,"Approximately 123 cameras out of a total of 187 were compromised using suspicious ransomware between January 9, 2017 and January 12, 2017.",ibtimes.co.uk,0,0,0,0,1,0
1021,1,4,2011,SCIDMARK ,3,Greenfield Wastewater Treatment Plant intentionally shut down critical systems,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"SCADA/control systems were intentionally shut down, preventing current wastewater operations from continuing; the tampering of the original security systems and their displayed conditions existed until the start of the backup security systems.",4.0,SCADA/control systems were forced into shutdown mode.,ibtimes.co.uk,0,0,0,0,1,0
1020,16,3,2015,SCIDMARK ,3,Backfire due to PLC malfunction in Chevron,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,"Backfire/explosion occurred at Chevron USA's A582 'C' facility at High Island (HI), Lease G-02719.",4.0,Isolated damage to the PLC and the burner,ibtimes.co.uk,0,0,0,0,1,0
1019,6,8,2014,SCIDMARK ,3,Oil spill due to communication failure in ConocoPhillips,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,The highest level of emergency shutdown (yellow ESD – abandonment platform) was initiated at the Eldfisk and Embla complex.,3.0,"It caused total power loss and all systems shut down on Eldfisk A, FTP and Embla while Eldfisk E lost main power. ConocoPhillips defines total power loss as an emergency (DSHA 16).",ibtimes.co.uk,0,0,0,0,1,0
1018,6,3,2018,SCIDMARK ,3,The Continental European (EC) Power System experienced a continuous frequency deviation from the system,Energy,Energy,4,Energy,Energy,10,Power deviations continued to lead by slightly decreasing values ​​in the average electrical frequency. This average frequency deviation caused an unexpected responsibility for the power loss. The missing energy was approx.,4.0,"Power deviations originally led to only a slight drop in electrical frequency. This, in turn, has begun to noticeably affect electric clocks that are driven by the frequency of the power system rather than a quartz crystal.",ibtimes.co.uk,0,0,0,1,0,0
1017,8,4,2022,TI Safe,4,Finland records cyber attack and airspace violation,Sector and Production,Manufacturing,8,Aerospace,Aerospace,1,DDoS attack hits ministry websites and some other services in Finland; a Russian state plane allegedly violated Finnish airspace,3.0,Had no impact.,mundocontact.com,0,0,0,1,0,0
1015,7,4,2014,SCIDMARK ,3,California water line break due to software malfunction,Water and wastewater sector and,Infrastructure,7,Water and Wastewater Systems,Critical Infrastructure,7,"The city of Brawley, California has experienced several waterline breaks.",4.0,"It resulted in water cuts for businesses close to the break, as well as the closing of arterial street traffic from Rua G to Rua Principal. The malfunction caused the distribution pumps to fluctuate their pressure in the water distribution system.",ibtimes.co.uk,0,0,0,0,1,0
1014,31,3,2022,TI Safe,4,Destructive attack knocked out Viasat modems,Information Technology,Technology,10,Information Technology,Technology,24,Viasat – the high-speed satellite broadband provider whose modems have been disabled in Ukraine and elsewhere in Europe,3.0,"Malware that infected more than 500,000 home and small office modems in the US. Several US government agencies – first the FBI and later organizations including the National Security Agency – have attributed the modem malware to Russian state threat actor",arstechnica.com,0,0,0,1,0,0
1012,24,3,2022,TI Safe,4,Italian rail system suffers ransomware attack,Transport sector and,Transport,11,Transportation Systems,Transport,25,The main Italian rail network Trenitalia/Ferrovie suffered an outage in its ticketing systems after a ransomware infection rendered its systems unusable.,4.0,The attack did not affect the operation of the locomotives but the action caused delays in travel and turmoil for the collection of passengers.,boletimsec.com.br,0,0,0,1,0,0
1011,22,3,2022,TI Safe,4,Hacker group claims cyberattack against Okta,Information Technology,Technology,10,Information Technology,Technology,24,"The American company Okta, is investigating an alleged cyberattack.
The group responsible for the attack is LAPSUS$, which has been taking over the media through attacks against famous targets such as NVIDIA, Americanas, among others.",3.0,The focus of the attack is only the customers of the American company,boletimsec.com.br,0,0,0,0,1,0
1010,22,2,2022,TI Safe,4,CNPEM works on recovering impacted systems after ransomware attack,Information Technology,Technology,10,Information Technology,Technology,24,"The National Center for Research in Energy and Materials, a social organization linked to the Ministry of Science, Technology and Innovation and located in Campinas, announced that it was the victim of a ransomware attack.",3.0,"Some computers connected to laboratory equipment, which depend on legacy systems, were compromised and are being recovered by the Information Technology team.",securityreport.com.br,0,0,0,0,0,1
1009,21,2,2022,TI Safe,4,Hackers attack the Labor Court in Espírito Santo,Information Technology,Technology,10,Information Technology,Technology,24,"The Regional Labor Court of the 17th Region, in Espírito Santo, was the target of an intrusion into the agency's network, leading the Information Technology Secretariat to disconnect the network and servers.",4.0,The invasion led the Information Technology Secretariat to disconnect the network and servers.,convergenciadigital.com.br,0,0,0,0,0,1
1008,2,4,2022,TI Safe,4,"Nordex hit by cyber security incident, shuts IT systems",Information Technology,Technology,10,Information Technology,Technology,24,"Nordex Group, which together with its subsidiaries develops, manufactures and distributes wind energy systems, was hit by a cybersecurity incident and shut down its IT systems at various locations and business units to contain the issue.",3.0,"The intrusion was noticed at an early stage and that customers, employees and other stakeholders could be affected by the shutdown of IT systems.",reuters.com,0,0,0,1,0,0
1007,15,3,2022,TI Safe,4,Anonymous hackers strike German subsidiary of Russian energy company Rosneft,Energy,Energy,4,Energy,Energy,10,Anonymous hacker group said on Monday that they have attacked the systems of the German subsidiary of Russian energy giant Rosneft and stolen 20TB of data.,4.0,Hacking group Anonymous stole 20 TB of data hit government websites in the Russian Federation and claimed the websites are down.,industrialcyber.co,0,0,0,1,0,0
1006,2,3,2022,TI Safe,4,Cybercriminals invade Federal District government website,Government,Public,9,Government Facilities,Government,14,The Paraná Cyber ​​Mafia group took down the website of the Secretary of Health last Tuesday morning,3.0,"The system and other government sites were taken down for security reasons, but there was no invasion or compromise of systems or information.",boletimsec.com.br,0,0,0,0,0,1
1005,28,2,2022,TI Safe,4,Toyota to halt operations at Japanese factories over suspected cyber attack on supplier,Sector and Production,Manufacturing,8,Automotive,Transport,25,"Toyota Motor will stop operations at all its factories in Japan on suspicion of a cyber attack on a major supplier, Japanese newspaper Nikkei reported.",4.0,"
The attack reportedly disrupted a parts supply management system.
",g1.globo.com,0,1,0,0,0,0
1004,24,2,2022,TI Safe,4,EMS pharmaceutical lab suffers hacker attack attempt,Hospital and health,Health and Homecare,6,Healthcare and Public Health,Healthcare,15,"The EMS pharmaceutical laboratory, located in Hortolândia (SP), communicated to the market that it had suffered a hacker invasion attempt on its computer system.",3.0,"Some computers connected to laboratory equipment, which depend on legacy systems, were compromised and are being recovered by the Information Technology team.",securityreport.com.br,0,0,0,0,0,1
1003,21,2,2022,TI Safe,4,National research center that houses Sirius superlaboratory suffers hacker attack in Campinas,Education and Research,Public,9,Education and Research,Education and Research,9,"The National Center for Research in Energy and Materials, located in Campinas, found a hacker attack and had part of the files hijacked.",4.0,The National Center for Research in Energy and Materials had its files hijacked and services down.,g1.globo.com,0,0,0,0,0,1
1002,10,2,2022,TI Safe,4,Hacker attack on Dolomiti Energia,Energy,Energy,4,Energy,Energy,10,"Violation of Dolomites Energy's IT Systems: "" Attack from external parties that caused unavailability of some IT platforms in use",4.0,Unavailability of service,ildolomiti.it,0,0,0,1,0,0
1001,9,2,2022,TI Safe,4,RS Government suffers cyber attack,Government,Public,9,Government Facilities,Government,14,"The State Government of Rio Grande do Sul suffered a cyber attack in the early hours of Tuesday the 8th, and its websites are down, including that of the State Data Processing Company (Procergs).",3.0,Both the main state government site and the individual secretary sites are not working.,baguete.com.br,0,0,0,0,0,1
1000,8,2,2022,TI Safe,4,Hacker attack on Dolomiti Energia,Energy,Energy,4,Energy,Energy,10,Violation of computer systems identified. Service provision and plant safety not involved,3.0,It caused the unavailability of some IT platforms in use. ,ildolomiti.it,0,0,0,1,0,0
999,8,2,2022,TI Safe,4,Vodafone Portugal hit by hackers,Information Technology,Technology,10,Information Technology,Technology,24,"Vodafone's (VOD.L) Portuguese unit said on Tuesday a hacker attack overnight had disrupted its services but assured its customers that their personal data had not been compromised as a result of the incident, which is under investigation.",3.0,Customers reported that they were unable to make calls or access the Internet on their phones or computers.,reuters.com,0,0,0,1,0,0
998,8,2,2022,TI Safe,4,Government of RS suffers cyber attack,Government,Public,9,Government Facilities,Government,14,"The State Government of Rio Grande do Sul suffered a cyberattack in the early hours of Tuesday, 8, and its websites are down, including that of the State Data Processing Company (Procergs).",3.0,"In addition to Procergs, websites of city halls such as Equality, bodies such as the Detran-RS and the General Institute of Expertise (IGP), as well as state secretariats, including Health, Finance and Public Security, are offline.",baguete.com.br,0,0,0,0,0,1
996,7,2,2022,TI Safe,4,Oil distributor in Germany is victim of cyber attack,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,"The companies, Oiltanking GmbH Group and mineral oil dealer Mabanaft GmbH & Co. KG Group, revealed that they discovered on January 29 that they were hit by a cyberattack that disrupted their IT systems and supply chain.",4.0,Cyber ​​attack has disrupted your IT systems and supply chain.,securityreport.com.br,0,0,0,1,0,0
995,7,2,2022,TI Safe,4,Germany's oil distributor falls victim to a cyber attack,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,"The companies, Oiltanking GmbH Group and mineral oil retailer Mabanaft GmbH & Co. KG Group, revealed that they found out on January 29 that they were hit by a cyber attack that disrupted their computer systems and supply chain.",4.0,Data leakage,securityreport.com.br,0,0,0,1,0,0
993,4,2,2022,TI Safe,4,Swissport ransomware attack delays flights and disrupts operations.,Sector and Production,Manufacturing,8,Aerospace,Aerospace,1,"Aviation services company Swissport International has disclosed a ransomware attack that has impacted its IT infrastructure and services, causing flights to suffer delays.",3.0,"Ransomware attack impacted IT infrastructure and services, causing flight delays. ",bleepingcomputer.com,0,0,0,1,0,0
991,4,2,2022,TI Safe,4,European oil port terminals hit by cyberattack,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,"According to the German newspaper Handelsblatt, an initial report from German security services identifies the BlackCat ransomware as the tool used in the cyberattack in Germany.",5.0, victim to a cyberattack at a time when energy prices are already soaring,france24.com,0,0,0,1,0,0
990,4,2,2022,TI Safe,4,"Aviation services company Swissport International has disclosed a ransomware attack that has impacted its IT infrastructure and services, causing flights to suffer delays.",Transport sector and,Transport,11,Transportation Systems,Transport,25,"At the time of writing, loading Swissport's website returns an error, indicating that the firm’s IT team is still dealing with problems resulting from the ransomware attack.",4.0,"A spokesperson of the Zurich Airport, one of Swissport’s clients, told Der Spiegel that the cyberattack occurred at 6AM on Thursday and caused minor delays for 22 flight yesterday, between three and 20 minutes.",bleepingcomputer.com,0,0,0,1,0,0
989,3,2,2022,TI Safe,4,European oil port terminals hit by cyberattack,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,Major oil terminals in some of western Europe's biggest ports have fallen victim to a cyberattack.,5.0,"""Their software is being hijacked and they can't process barges. Basically, the operational system is down,"" he said.",rte.ie,0,0,0,0,1,0
988,2,2,2022,TI Safe,4,Scotland's environment watchdog has written off £2m worth of fees because of records lost in a cyber attack.,Government,Public,9,Government Facilities,Government,14,"Hackers had second go at Sepa during cyber attack
Sepa cyber attack recovery could take years",5.0,"Auditor General Stephen Boyle said the attack continued to have a ""significant impact"" on Sepa's performance.",bbc.com,0,0,0,1,0,0
987,2,2,2022,TI Safe,4,Cyber-attack strikes German fuel supplies,Chemical and Farmaceutic industry,Chemical Industry,2,Oil and Gas,Oil and Gas,20,It says it discovered it had been hacked on Saturday.,4.0,"A major fuel supplier in Germany is operating at a ""limited capacity"" after a cyber-attack disrupted IT systems at the weekend.",bbc.com,0,0,0,1,0,0
984,21,1,2022,TI Safe,4,Cruz Vermelha reports large-scale cyber attack,Hospital and health,Health and Homecare,6,Healthcare and Public Health,Healthcare,15,"In a statement, The ICRC commented that it has no immediate indications as to who carried out this cyber attack and that there is no indication yet that the compromised information was leaked or shared publicly",5.0,"The International Committee of the Red Cross (ICRC) reported on Wednesday (19) that it was the victim of a large-scale cyber attack in which hackers seized the data of more than 515,000 extremely vulnerable people, including people separated from their fa",securityreport.com.br,1,1,1,1,1,1
983,18,1,2022,TI Safe,4,Hacker attack knocks out systems and deletes data from PF and PRF,Government,Public,9,Government Facilities,Government,14,Corporations were hit by criminal attack against federal government employees,5.0,Data of policemen with active debt with the Union were erased during the criminal attack,noticias.r7.com,0,0,0,0,0,1
981,15,3,2024,TI Safe,4,Nissan confirms cyberattack exposing data of 100 thousand people,Manufacturing and automation,Manufacturing,8,Marketing and services,Business,3,"The attack exposed data of approximately 100 thousand people, including personal information of employees, NDAs, project data, information about partners and customers.",3.0,"The impact includes compromise of government identification, documents related to loans, employment details, and dates of birth, affecting approximately 10% of people with compromised government identification and other affected personal information for t",cisoadvisor.com.br,0,0,1,0,0,0
982,17,1,2022,TI Safe,4,"Ransomware puts New Mexico prison in lockdown: Cameras, doors go offline",Government,Public,9,Government Facilities,Government,14,"Commissioners told the court that all of Bernalillo County, which covers the US state of New Mexico's largest city Albuquerque, had been affected by a January 5, 2022, ransomware attack.",4.0,"Bernalillo County, New Mexico, has been unable to comply with the settlement terms of a 27-year-old lawsuit over prison conditions because of a ransomware attack last week that saw prisoners back under manual control.",theregister.com,0,0,0,0,1,0
980,14,1,2022,TI Safe,4,"Ukraine cyber-attack: Russia to blame for hack, says Kyiv",Government,Public,9,Government Facilities,Government,14,The Ukrainian government has accused Russia of being behind Friday's cyber-attack on dozens of official websites.,5.0,"About 70 government websites were temporarily down, in the largest such attack on Ukraine in four years.",bbc.com,0,0,0,1,0,0
979,13,1,2022,TI Safe,4,Security flaw exposes data of almost 300 thousand people in Florianópolis,Hospital and health,Health and Homecare,6,Healthcare and public health,Healthcare,15,Confidential information of people who are monitored by the City Hall of Florianopolis was leaked on the Covid 19 portal. ,4.0,Data leakage,ndmais.com.br,0,0,0,0,0,1
978,13,1,2022,TI Safe,4,Localiza reports incident with partial system interruption,Transport sector and,Transport,11,Transportation Systems,Transport,25,"Company was victim of the cybercriminal group Lapsus$, which assumed authorship on its Telegram channel.
",4.0,"One of the largest car rental companies in Latin America, was attacked in an action that modified the site, transforming the contents with pornography.
",securityreport.com.br,0,0,0,0,0,1
977,13,1,2022,TI Safe,4,School’s out as cyberattack forces APS to cancel classes,Education and Research,Public,9,Education and Research,Education and Research,9,A cyberattack against Albuquerque Public Schools prompted the state’s largest district to cancel all classes districtwide on Thursday and possibly Friday.,4.0, APS canceled Thursday and Friday classes for the entire district,abqjournal.com,0,0,0,0,1,0
